f,Suu,Svv,Sww
0.0242,0.000547649454184106,0.000431467456620318,0.0002927113005216105
0.0244,0.00035002471875078225,0.0003587911024161262,0.0002449551790555549
0.0246,0.0005395427585812535,0.0006231314156689657,0.00038397501692221964
0.0248,0.0004089603132775188,0.00042897593074749736,0.0003387298094681265
0.025,0.00038458144250253635,0.00039041693883120666,0.00034576181909697
0.0252,0.0005792323307730246,0.00039190903057965444,0.0003456156700365416
0.0254,0.0005397912742857726,0.0003603035580393858,0.000298879359235291
0.0256,0.0004903373955501639,0.0003241757874482598,0.00040518827628610306
0.0258,0.0004211057196319968,0.0004824982191312343,0.00034149269138366613
0.026,0.0005712409749856647,0.0004004956809340092,0.0003131197188718084
0.0262,0.0004327984703660498,0.0004950964453966308,0.00031186559553509437
0.0264,0.0005222530258868074,0.00046557211585434725,0.0003241285556396977
0.0266,0.0004163981280620354,0.0005533766638904398,0.00040085027416303186
0.0268,0.0004511932459882886,0.0005479356915614711,0.0003536503364062103
0.027,0.0004078480634279092,0.00043833949710932765,0.0003552080198811025
0.0272,0.0004971218619207639,0.0006058140526304805,0.000383818721777766
0.0274,0.0003984384245009504,0.0004961472717749741,0.00034874765810610753
0.0276,0.00035647832236536755,0.0004159735806237788,0.0003081837390757464
0.0278,0.0003154110559710836,0.00048072535413478014,0.0003431174080473891
0.028,0.00038924414551877267,0.0005099622838687148,0.0005014469359866712
0.0282,0.0003719407536348461,0.0006061978057466449,0.0002990500512471253
0.0284,0.0003315931880791527,0.00033584989202235777,0.0002568253679102231
0.0286,0.00047670036596041864,0.0004483021526690078,0.00026427563945190106
0.0288,0.0003704678361154223,0.0005246310182277259,0.0003667280253446067
0.029,0.00033927533891489397,0.00046339045996313707,0.0003050950041542984
0.0292,0.0004716833512672116,0.0003768105852403447,0.00039274408323477855
0.0294,0.00040941316583804633,0.00033740997755115444,0.00034102087948514285
0.0296,0.00032040683224707943,0.0006334736505745511,0.00037930814608861383
0.0298,0.0003273713233442899,0.0006018497076023335,0.00035550768382261753
